S7 Distributed Safety Programming;V5.4 + SP5;K5.4.5.0_3.5.0.2;K5.4.5.0;
SIMATIC WinCC flexible Runtime;2008 SP5;V1.5.0.0_1.11.0.6;V1.5.0.0;
Automation License Manager;V6.0 + SP3;06.00.03.00_01.01.00.09;K6.0.3.0;
S7-PLCSIM  ;V5.4 + SP8;V05.04.08.00_08.03.00.01;K5.4.8.0;
SIMATIC ProSave;V14.0 SP1;V14.00.01.00_12.01.00.01;V14.00.01.00;
SIMATIC S7-Block Privacy;V1.0 + SP4;K1.0.4.0_9.1.0.1;K1.0.4.0;
S7 F ConfigurationPack;V5.5 + SP9;K5.5.9.0_11.1.0.1;K5.5.9.0;
S7-PCT;V3.5 + Upd1;K3.5.0.1_1.10.0.1;K3.5.0.1;
SIMATIC S7-SCL;V5.6;V5.6.0.0_11.1.0.1;V5.6.0.0;
STEP 7;V5.6 + SP1 + HF5;K5.6.1.5_7.1.0.1;K5.6.1.5;
SIMATIC S7-Web2PLC;V1.0 + SP3;K1.0.3.0_8.1.0.1;K1.0.3.0;
SIMATIC WinCC flexible;2008 SP5;V01.05.00.00_01.13.00.03;V1.5.0.0;
SIMATIC WinCC flexible;2008 SP5;V01.05.00.00_01.13.00.03;V1.5.0.0;
Automation Access Control Component;4.0;K04.00.01.00_01.01.00.01;---;
Automation Software Updater;02.02.0100;V02.02.01.00_01.01.00.28;---;
SIMATIC Colour Editor;5.2.2.0;K5.2.2.0_2.1.0.1;---;
License Logon Interface;4.0;K04.00.03.00_01.01.00.02;---;
SIEMENS OPC;3.9;03.09.07.00_01.05.00.01;---;
SIMATIC HMI ProSave;14.0.1.0;V14.00.01.00_12.01.00.01;---;
SIMATIC HMI Symbol Library;14.0.1.0;V14.00.01.00_12.01.00.01;---;
SIMATIC HMI Touch Input;14.0.1.0;V14.00.01.00_12.01.00.01;---;
SIMATIC Version View;1.7.11.0;K1.7.11.0_6.1.0.2;---;
SIMATIC Common Services;5.3.15.0;K5.3.15.0_1.1.0.1;---;
SIMATIC Device Drivers WoW;29.2;29.02.01.00_01.11.00.01;---;
SIMATIC Event Database;5.6;05.06.01.00_02.01.00.01;---;
SIMATIC GSD CONTROL;3.5.7.0;K3.5.7.0_2.1.0.1;---;
SIMATIC GSD Interpreter;2.8.2.0;K2.8.2.0_1.1.0.1;---;
SIMATIC Interface Editor;5.4.22.0;K5.4.22.0_2.1.0.1;---;
SIMATIC Extended Interfaces;5.4.7.0;K5.4.7.0_2.1.0.1;---;
SIMATIC LanguageSupportTool;5.8.4.0;K5.8.4.0_2.1.0.1;---;
SIMATIC Condition Editor;5.4.13.0;K5.4.13.0_1.1.0.1;---;
SIMATIC NCM;5.6.1.5;K5.6.1.5_7.1.0.1;---;
SIMATIC Process Diagnosis Base;5.6.2.0;K5.6.2.0_1.1.0.1;---;
SIMATIC Process Diagnosis Database;5.6.0.0;V5.6.0.0_4.1.0.1;---;
SIMATIC DIAGNOSTIC REPEATER GUI CTRL;5.2.3.0;K5.2.3.0_1.1.0.1;---;
SIMATIC Grid Control;2.6.0.0;V2.6.0.0_2.1.0.1;---;
SIMATIC S7-Status-OCX;5.3.14.0;K5.3.14.0_1.1.0.1;---;
SIMATIC Technological Parameter Assignment;5.3.12.0;K5.3.12.0_3.1.0.1;---;
SIMATIC X-Ref Control;5.2.10.0;K5.2.10.0_1.1.0.1;---;
SIMATIC STEP 7 Help Viewer;1.0.3.0;K1.0.3.0_2.1.0.1;---;
SIMATIC SCL Compiler;5.6.0.0;V5.6.0.0_11.1.0.1;---;
SeCon;2.5;V02.05.00.00_01.05.00.04;---;
SIMATIC WinCC flexible OCX;1.5.0.0;V1.5.0.0_1.11.0.6;---;
SIMATIC WinCC flexible Simulator;1.8.3.7;K1.8.3.7_1.1.0.3;---;
SIMATIC WinCC flexible Tag Simulator;1.5.0.0;V1.5.0.0_1.11.0.6;---;
WinCC Runtime Advanced Simulator;14.0.1.0;V14.00.01.00_12.01.00.01;---;
