0;1;<Identifyer:Param2>+<float:Param3>;12; + ;3;
0;0;<float:Param3>;0; ;3;
1;1;<Identifyer:Param2>-<float:Param3>;12; - ;3;
2;1;<Identifyer:Param2>*<float:Param3>;12; * ;3;
3;1;<Identifyer:Param2>/<float:Param3>;12; / ;3;
4;1;<Identifyer:Param2> AND float:Param3>;12; AND ;3;
5;1;<Identifyer:Param2> OR <float:Param3>;12; OR ;3;
6;1;<Identifyer:Param2> XOR <float:Param3>;12; XOR ;3;
7;1;<Identifyer:Param2><<float:Param3>;12; < ;3;
8;1;<Identifyer:Param2><=<float:Param3>;12; <= ;3;
9;1;<Identifyer:Param2>=<float:Param3>;12; = ;3;
10;1;<Identifyer:Param2><><float:Param3>;12; <> ;3;
11;1;<Identifyer:Param2>><float:Param3>;12; >< ;3;
12;1;<Identifyer:Param2>>=<float:Param3>;12; >= ;3;
15;1;<Identifyer:Param2>[<float:Param3>];12;[;3;]
16;1;<float:Param3>+<Identifyer:Param2>;3; + ;12;
17;1;<float:Param3>-<Identifyer:Param2>;3; - ;12;
18;1;<float:Param3>*<Identifyer:Param2>;3; * ;12;
19;1;<float:Param3>/<Identifyer:Param2>;3; / ;12;
20;1;<float:Param3> AND <Identifyer:Param2>;3; AND ;12;
21;1;<float:Param3> OR <Identifyer:Param2>;3; OR ;12;
22;1;<float:Param3> XOR <Identifyer:Param2>;3; XOR ;12;
23;1;<float:Param3><<Identifyer:Param2>;3; < ;12;
24;1;<float:Param3><=<Identifyer:Param2>;3; <= ;12;
25;1;<float:Param3>=<Identifyer:Param2>;3; = ;12;
26;1;<float:Param3><><Identifyer:Param2>;3; <> ;12;
27;1;<float:Param3>><Identifyer:Param2>;3; >< ;12;
28;1;<float:Param3>>=<Identifyer:Param2>;3; >= ;12;
32;1;<Identifyer:Param2>+<Identifyer:Param3>;12; + ;13;
32;0;<Identifyer:Param3>;0; ;13;
33;1;<Identifyer:Param2>-<Identifyer:Param3>;12; - ;13;
34;1;<Identifyer:Param2>*<Identifyer:Param3>;12; * ;13;
35;1;<Identifyer:Param2>/<Identifyer:Param3>;12; / ;13;
36;1;<Identifyer:Param2> AND <Identifyer:Param3>;12; AND ;13;
37;1;<Identifyer:Param2> OR <Identifyer:Param3>;12; OR ;13;
38;1;<Identifyer:Param2> XOR <Identifyer:Param3>;12; XOR ;13;
39;1;<Identifyer:Param2><<Identifyer:Param3>;12; < ;13;
40;1;<Identifyer:Param2><=<Identifyer:Param3>;12; <= ;13;
41;1;<Identifyer:Param2>=<Identifyer:Param3>;12; = ;13;
42;1;<Identifyer:Param2><><Identifyer:Param3>;12; <> ;13;
43;1;<Identifyer:Param2>><Identifyer:Param3>;12; >< ;13;
44;1;<Identifyer:Param2>>=<Identifyer:Param3>;12; >= ;13;
47;1;<Identifyer:Param2>[<Identifyer:Param3>];12;[;13;]
